region,iso3,source,yaml,extra_regions
Rest of Oceania,ASM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,CCK,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,COK,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,CXR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,FJI,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,FSM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,GUM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,HMD,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,JTN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,KIR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,MHL,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,MID,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,MNP,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,NCL,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,NFK,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,NIU,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,NRU,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,NZL,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,PCN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,PLW,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,PNG,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,PYF,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,SLB,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,TKL,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,TON,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,TUV,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,UMI,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,VUT,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,WAK,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,WLF,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Oceania,WSM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of South America,BOL,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of South America,BRA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of South America,BVT,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of South America,CHL,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of South America,COL,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of South America,ECU,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of South America,FLK,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of South America,GUF,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of South America,GUY,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of South America,PER,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of South America,PRY,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of South America,SGS,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of South America,SUR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of South America,URY,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of South America,VEN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Southern Asia,AFG,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Southern Asia,BGD,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Southern Asia,BTN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Southern Asia,IRN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Southern Asia,LKA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Southern Asia,MDV,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Southern Asia,NPL,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Western Asia,ARE,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Western Asia,ARM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Western Asia,AZE,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Western Asia,BHR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Western Asia,GEO,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Western Asia,IRQ,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Western Asia,ISR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Western Asia,JOR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Western Asia,KWT,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Western Asia,LBN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Western Asia,OMN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Western Asia,PSE,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Western Asia,QAT,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Western Asia,SAU,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Western Asia,SYR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Western Asia,YEM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Western Asia,YMD,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Russia,RUS,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
South-Eastern Asia,BRN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
South-Eastern Asia,IDN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
South-Eastern Asia,KHM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
South-Eastern Asia,LAO,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
South-Eastern Asia,MMR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
South-Eastern Asia,MYS,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
South-Eastern Asia,PHL,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
South-Eastern Asia,SGP,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
South-Eastern Asia,THA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
South-Eastern Asia,TLS,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
South-Eastern Asia,VNM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Southern Africa,BWA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Southern Africa,LSO,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Southern Africa,NAM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Southern Africa,SWZ,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Southern Africa,ZAF,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Turkey,TUR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
USA,USA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Ukraine,UKR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Western Africa,BEN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Western Africa,BFA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Western Africa,CIV,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Western Africa,CPV,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Western Africa,GHA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Western Africa,GIN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Western Africa,GMB,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Western Africa,GNB,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Western Africa,LBR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Western Africa,MLI,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Western Africa,MRT,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Western Africa,NER,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Western Africa,NGA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Western Africa,SEN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Western Africa,SHN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Western Africa,SLE,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Western Africa,TGO,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
