year,country,grain,production_mmt,anomaly,xi
2012,Ukraine,rice,0.10300000000000001,0.22950658202065102,1.229506582020651
2005,Kazakhstan,rice,0.185,0.04434769168428527,1.0443476916842853
2006,Kazakhstan,rice,0.188,0.02401326862731953,1.0240132686273196
2007,Kazakhstan,rice,0.191,0.0034080766201226597,1.0034080766201228
2008,Kazakhstan,rice,0.166,-0.16090217562495673,0.8390978243750433
2009,Kazakhstan,rice,0.2,-0.02500062887808488,0.9749993711219151
2010,Kazakhstan,rice,0.242,0.13864764427860476,1.1386476442786049
2011,Kazakhstan,rice,0.225,0.014683224352204384,1.0146832243522044
2012,Kazakhstan,rice,0.228,-0.02032210112948901,0.979677898870511
2005,Australia,rice,0.716,1.4456491185642228,2.445649118564223
2006,Australia,rice,0.11800000000000001,-0.5192050732143152,0.4807949267856848
2007,Australia,rice,0.013000000000000001,-0.9448994409192615,0.05510055908073852
2008,Australia,rice,0.044,-0.8311841169611581,0.16881588303884187
2009,Australia,rice,0.14200000000000002,-0.5577300233020137,0.4422699766979863
2010,Australia,rice,0.521,0.26212288064587747,1.2621228806458775
2011,Australia,rice,0.662,0.3342633233125965,1.3342633233125964
2012,Australia,rice,0.836,0.5466117999489565,1.5466117999489564
2005,Argentina,rice,0.764,0.06396007729408879,1.0639600772940887
2006,Argentina,rice,0.6910000000000001,-0.08688179320624546,0.9131182067937545
2007,Argentina,rice,0.81,0.01762255491122005,1.0176225549112201
2008,Argentina,rice,0.867,0.028126001093298807,1.0281260010932989
2009,Argentina,rice,0.706,-0.20864884599052944,0.7913511540094705
2010,Argentina,rice,1.118,0.19469404042061264,1.1946940404206126
2011,Argentina,rice,1.008,0.03886355234362586,1.0388635523436258
2012,Argentina,rice,1.014,0.024622749824380633,1.0246227498243807
2005,India,rice,91.785,0.022688459449603737,1.0226884594496037
2006,India,rice,93.345,0.015869834387455165,1.0158698343874553
2007,India,rice,96.682,0.03303233506348002,1.03303233506348
2008,India,rice,99.172,0.03881330554851562,1.0388133055485156
2009,India,rice,89.083,-0.08563910377107571,0.9143608962289242
2010,India,rice,95.97,-0.03290541331581848,0.9670945866841816
2011,India,rice,105.301,0.04336655051380871,1.0433665505138088
2012,India,rice,105.241,0.024123359729988282,1.0241233597299884
2005,China,rice,126.414,0.007347290696429317,1.0073472906964294
2006,China,rice,127.2,-0.007591454701773527,0.9924085452982264
2007,China,rice,130.467,-0.005042065036064232,0.9949579349639358
2008,China,rice,134.828,0.007709245425198417,1.0077092454251984
2009,China,rice,137.338,0.006829065944076401,1.0068290659440764
2010,China,rice,138.058,-0.00621690358611032,0.9937830964138897
2011,China,rice,142.018,0.006171233503044144,1.0061712335030442
2012,China,rice,144.572,0.010372311075832159,1.0103723110758323
2005,USA,rice,7.101,0.058393057376363924,1.058393057376364
2006,USA,rice,6.267,-0.06974269343426427,0.9302573065657357
2007,USA,rice,6.288,-0.07028873472077525,0.9297112652792248
2008,USA,rice,6.546,-0.025063989144258086,0.9749360108557419
2009,USA,rice,7.133,0.07200080125628829,1.0720008012562883
2010,USA,rice,7.593,0.14497438307521784,1.144974383075218
2011,USA,rice,5.8660000000000005,-0.11485902835333027,0.8851409716466697
2012,USA,rice,6.348,-0.034995245623586656,0.9650047543764133
2005,EU,rice,1.75,-0.009974047775624651,0.9900259522243754
2006,EU,rice,1.706,-0.04441738691215795,0.9555826130878421
2007,EU,rice,1.811,-0.0014567288204315801,0.9985432711795684
2008,EU,rice,1.6520000000000001,-0.10594703168222952,0.8940529683177705
2009,EU,rice,2.0300000000000002,0.07788509868515442,1.0778850986851545
2010,EU,rice,2.016,0.05455221026602409,1.054552210266024
2011,EU,rice,1.976,0.024536512875831376,1.0245365128758315
2012,EU,rice,1.964,0.014872325186320553,1.0148723251863205
2005,Vietnam,rice,22.772000000000002,-0.00811154729160012,0.9918884527083999
2006,Vietnam,rice,22.922,-0.02312637583099331,0.9768736241690067
2007,Vietnam,rice,24.375,0.014304795808804366,1.0143047958088043
2008,Vietnam,rice,24.393,-0.011915413126394018,0.988084586873606
2009,Vietnam,rice,24.993000000000002,-0.016058071417202866,0.9839419285827972
2010,Vietnam,rice,26.371000000000002,0.010191997785148376,1.0101919977851483
2011,Vietnam,rice,27.152,0.015788915547411908,1.0157889155474118
2012,Vietnam,rice,27.537,0.011367427537353958,1.0113674275373539
2005,Thailand,rice,18.2,-0.008060166569840689,0.9919398334301593
2006,Thailand,rice,18.25,-0.027716348363999607,0.9722836516360004
2007,Thailand,rice,19.8,0.03134572154202324,1.0313457215420232
2008,Thailand,rice,19.85,0.012090219460815711,1.0120902194608157
2009,Thailand,rice,20.26,0.01580875439325347,1.0158087543932535
2010,Thailand,rice,20.262,0.006298437959156044,1.006298437959156
2011,Thailand,rice,20.46,0.02022035097704629,1.0202203509770462
2012,Thailand,rice,20.2,0.02524178587895394,1.025241785878954
2005,Russia,maize,3.06,-0.07045651434153527,0.9295434856584648
2006,Russia,maize,3.5100000000000002,-0.07096246431995926,0.9290375356800408
2007,Russia,maize,3.798,-0.07073328268002585,0.9292667173199741
2008,Russia,maize,6.682,0.4972375520287589,1.4972375520287589
2009,Russia,maize,3.963,-0.22676683209659687,0.7732331679034031
2010,Russia,maize,3.075,-0.49309515112578867,0.5069048488742114
2011,Russia,maize,6.962,-0.02705298434433101,0.972947015655669
2012,Russia,maize,8.213000000000001,-0.029476533330786137,0.9705234666692139
2005,Ukraine,maize,7.167,-0.03498466880807948,0.9650153311919205
2006,Ukraine,maize,6.426,-0.2179040825751809,0.7820959174248191
2007,Ukraine,maize,7.421,-0.18662667568155952,0.8133733243184404
2008,Ukraine,maize,11.447000000000001,0.0706156032651721,1.0706156032651721
2009,Ukraine,maize,10.486,-0.19827628105155257,0.8017237189484474
2010,Ukraine,maize,11.919,-0.26218686829101,0.73781313170899
2011,Ukraine,maize,22.838,0.18422871499892765,1.1842287149989277
2012,Ukraine,maize,20.922,-0.049088015576325514,0.9509119844236745
2005,Kazakhstan,maize,0.432,0.0036568127096476425,1.0036568127096477
2006,Kazakhstan,maize,0.41400000000000003,-0.044822609752433434,0.9551773902475665
2007,Kazakhstan,maize,0.421,-0.035181436801399624,0.9648185631986004
2008,Kazakhstan,maize,0.42,-0.050629364645876224,0.9493706353541238
2009,Kazakhstan,maize,0.47100000000000003,0.03691844413254815,1.036918444132548
2010,Kazakhstan,maize,0.462,-0.027354528999321785,0.9726454710006782
2011,Kazakhstan,maize,0.482,-0.04817366281631547,0.9518263371836845
2012,Kazakhstan,maize,0.5,-0.08648795168027082,0.9135120483197292
2005,Australia,maize,0.38,0.10990234752489533,1.1099023475248952
2006,Australia,maize,0.24,-0.2973773833827377,0.7026226166172622
2007,Australia,maize,0.387,0.12669979576567428,1.1266997957656744
2008,Australia,maize,0.375,0.05469866870896961,1.0546986687089697
2009,Australia,maize,0.328,-0.1287327012411633,0.8712672987588367
2010,Australia,maize,0.357,-0.10172138632578176,0.8982786136742182
2011,Australia,maize,0.451,0.09054846451480338,1.0905484645148034
2012,Australia,maize,0.507,0.18737569522347422,1.1873756952234742
2005,Argentina,maize,15.8,-0.15021624677593118,0.8497837532240688
2006,Argentina,maize,22.5,0.15357033373659737,1.1535703337365975
2007,Argentina,maize,22.017,0.07314679064006117,1.0731467906400611
2008,Argentina,maize,15.5,-0.27809363373584206,0.7219063662641579
2009,Argentina,maize,25.0,0.09932162065918183,1.0993216206591818
2010,Argentina,maize,25.2,0.032303686977229164,1.032303686977229
2011,Argentina,maize,21.0,-0.20651935745625094,0.7934806425437491
2012,Argentina,maize,31.5,0.09582982716663307,1.0958298271666331
2005,India,maize,14.71,-0.04824808359473518,0.9517519164052648
2006,India,maize,15.097,-0.07873625871135385,0.9212637412886462
2007,India,maize,18.955000000000002,0.09400630427135051,1.0940063042713506
2008,India,maize,19.731,0.0718522678180393,1.0718522678180393
2009,India,maize,16.719,-0.14433397491769406,0.8556660250823059
2010,India,maize,21.726,0.05588177507717888,1.055881775077179
2011,India,maize,21.759,0.013468767984159833,1.0134687679841599
2012,India,maize,22.258,-0.0016243525578534417,0.9983756474421466
2005,China,maize,139.365,-0.005904513228525715,0.9940954867714743
2006,China,maize,151.603,0.017318449476989503,1.0173184494769896
2007,China,maize,155.123,-0.024201978253742828,0.9757980217462572
2008,China,maize,172.12,0.012302678246053236,1.0123026782460531
2009,China,maize,173.25900000000001,-0.050906726330302215,0.9490932736696978
2010,China,maize,190.752,-0.028580160701771398,0.9714198392982286
2011,China,maize,211.316,0.003011848293983599,1.0030118482939836
2012,China,maize,229.559,0.0210473203362953,1.0210473203362953
2005,USA,maize,282.26300000000003,-0.004691304441147669,0.9953086955588524
2006,USA,maize,267.503,-0.09428253567837004,0.9057174643216299
2007,USA,maize,331.177,0.09090660547152497,1.090906605471525
2008,USA,maize,305.911,-0.007807596666417672,0.9921924033335823
2009,USA,maize,331.921,0.06689113650968259,1.0668911365096827
2010,USA,maize,315.618,0.0028536375626661632,1.0028536375626662
2011,USA,maize,312.789,-0.02019112198179738,0.9798088780182026
2012,USA,maize,273.192,-0.16023305829714007,0.8397669417028599
2005,EU,maize,63.364000000000004,0.07554420394063129,1.0755442039406313
2006,EU,maize,55.887,-0.05563996450489796,0.9443600354951021
2007,EU,maize,49.481,-0.1664030938462091,0.8335969061537909
2008,EU,maize,65.131,0.0966743012731753,1.0966743012731752
2009,EU,maize,59.54,-0.007557356995902771,0.9924426430040972
2010,EU,maize,58.618,-0.04623404220598128,0.9537659577940187
2011,EU,maize,68.316,0.08107144081943317,1.081071440819433
2012,EU,maize,59.142,-0.07760228150240209,0.9223977184975979
2005,Vietnam,maize,3.787,0.03536788705437216,1.035367887054372
2006,Vietnam,maize,3.855,-0.01968550966580482,0.9803144903341952
2007,Vietnam,maize,4.303,0.03656062767156463,1.0365606276715646
2008,Vietnam,maize,4.573,0.053455704779177465,1.0534557047791775
2009,Vietnam,maize,4.372,-0.031985400151011076,0.968014599848989
2010,Vietnam,maize,4.626,-0.010820027130153032,0.9891799728698469
2011,Vietnam,maize,4.836,0.0042893775499535545,1.0042893775499535
2012,Vietnam,maize,4.974,0.00613006009441553,1.0061300600944156
2005,Thailand,maize,4.0,-0.016977953862040755,0.9830220461379593
2006,Thailand,maize,3.8000000000000003,-0.06551638979224622,0.9344836102077538
2007,Thailand,maize,3.85,-0.05660539550705866,0.9433946044929413
2008,Thailand,maize,4.5,0.09245041606165859,1.0924504160616586
2009,Thailand,maize,4.1,-0.025651357887500566,0.9743486421124994
2010,Thailand,maize,4.2,-0.030541336495953118,0.9694586635040469
2011,Thailand,maize,4.3,-0.033199855308396774,0.9668001446916032
2012,Thailand,maize,4.6000000000000005,0.01134311737374042,1.0113431173737404
